STAID,STANAME,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,COMID,COMID_DRAIN_SQKM,COMID_UNITAREA_SQKM,ABS_DIFF,DA_VALID,FLOW_SCALE,REL_DIFF,COV_TRAIN,COV_EVAL
01396800,SPRUCE RUN AT CLINTON NJ,107.8434,40.64,-74.915556,73005744,108.60062971631736,1.826392684632954,0.7572297163173687,True,0.5853959979753491,0.0070215675351237876,1.0,1.0
01397000,SOUTH BRANCH RARITAN RIVER AT STANTON NJ,388.6272,40.5725,-74.867778,73005461,378.8051182438836,22.36326588112421,9.822081756116404,True,1.0,0.025273788752090444,1.0,1.0
01400500,RARITAN RIVER AT MANVILLE NJ,1271.465,40.555,-74.583611,73005342,1349.4952810123846,15.047179559788766,78.03028101238465,True,1.0,0.06137037276872321,1.0,1.0
01407500,SWIMMING RIVER NEAR RED BANK NJ,127.494,40.319722,-74.115556,73005748,133.29833455601528,3.702788303062903,5.804334556015277,True,1.0,0.04552633501196352,1.0,1.0
01408120,NORTH BRANCH METEDECONK RIVER NEAR LAKEWOOD NJ,91.2879,40.091667,-74.1525,73005656,95.27644052693891,7.797841080358774,3.98854052693892,True,0.4885070770440208,0.04369188607623705,1.0,1.0
01408500,TOMS RIVER NEAR TOMS RIVER NJ,318.7953,39.986389,-74.223333,73005558,332.5176365827145,17.8878580454485,13.72233658271449,True,0.2328686560543178,0.0430443503486861,1.0,1.0
01413500,EAST BR DELAWARE R AT MARGARETVILLE NY,424.1025,42.14481,-74.653489,73003667,449.8257953127692,41.40124519438472,25.72329531276921,True,0.3786830518745345,0.06065348662827785,1.0,1.0
01417000,EAST BRANCH DELAWARE RIVER AT DOWNSVILLE NY,960.9337,42.075087,-74.976275,73003431,963.917562046556,38.20225365854448,2.9838620465559416,True,0.9218930361222666,0.003105169531005044,1.0,1.0
01420500,BEAVER KILL AT COOKS FALLS NY,627.0471,41.946477,-74.979609,73003496,629.7668135643522,36.699169573645634,2.719713564352219,True,0.9258916864891326,0.0043373353681919885,1.0,1.0
01421000,EAST BR DELAWARE R AT FISHS EDDY NY,2029.478,41.973143,-75.174058,73003356,2027.375533507895,2.755334270637885,2.1024664921051226,True,1.0,0.001035964170148739,1.0,1.0
01428500,DELAWARE R ABOVE LACKAWAXEN R NR BARRYVILLE NY,5242.786,41.508978,-74.985723,73003317,5252.009036331723,48.60216428190977,9.223036331723051,True,0.8102340406442361,0.0017591861143527604,1.0,1.0
01429000,"West Branch Lackawaxen River at Prompton, PA",151.3764,41.587309,-75.326845,73003858,151.41219468397682,46.482771224322825,0.0357946839768317,True,0.9992299365327404,0.00023646145619020997,1.0,1.0
01429500,"Dyberry Creek near Honesdale, PA",167.2245,41.60731,-75.26712,73003736,180.6620687881403,19.43449604694657,13.437568788140284,True,0.3085712767812413,0.08035645965836516,1.0,1.0
01431500,"Lackawaxen River at Hawley, PA",748.6569,41.4762,-75.172119,73003471,753.8534355873323,1.75872528733432,5.196535587332392,True,1.0,0.006941144317687305,1.0,1.0
01434000,DELAWARE RIVER AT PORT JERVIS NY,7967.644,41.370649,-74.697385,73003309,7956.241849149805,28.10361209040298,11.40215085019554,True,1.0,0.0014310567653619487,1.0,1.0
01437500,NEVERSINK RIVER AT GODEFFROY NY,793.9593,41.441204,-74.601828,73003376,827.1359786879964,48.759647166263456,33.1766786879964,True,0.3195873921140436,0.04178637203191196,1.0,1.0
01438500,DELAWARE RIVER AT MONTAGUE NJ,9016.394,41.309167,-74.795278,73003307,9010.18775469922,34.70068733080252,6.2062453007802105,True,1.0,0.0006883289817171045,1.0,1.0
01439500,"Bush Kill at Shoemakers, PA",305.8776,41.088151,-75.037675,73003502,326.41398649802954,13.933899360510187,20.53638649802957,True,1.0,0.06713922986851464,1.0,1.0
01440000,FLAT BROOK NEAR FLATBROOKVILLE NJ,167.7204,41.106667,-74.952222,73003791,166.61952963591838,45.93739604202036,1.1008703640816293,True,1.0,0.006563723697782913,1.0,1.0
