,index,hl_uri,poi_id,id,nex_id,hf_id,hl_link,hl_reference,hl_source,hl_x,hl_y,vpuid,STAID
67,67,gages-01206900,29331,wb-18124,nex-18125,864451.0,01206900,gages,ref-fab,1876605.3641415366,2301209.7951711905,01,01206900
68,68,gages-01048000,14169,wb-7710,nex-7711,854965.0,01048000,gages,ref-fab,2036675.7501302199,2694032.505500779,01,01048000
69,69,gages-01109403,33958,wb-10837,nex-10838,861895.0,01109403,gages,ref-fab,2008915.1132423251,2354388.2853182615,01,01109403
70,70,gages-01197500,16457,wb-18043,nex-18044,863749.0,01197500,gages,ref-fab,1839523.666840589,2356592.6709941714,01,01197500
71,71,gages-01117420,12049,wb-11276,nex-11267,763251.0,01117420,gages,ref-fab,2000837.801075253,2309041.7754353415,01,01117420
72,72,gages-01097000,50511,wb-14176,nex-14177,857215.0,01097000,gages,ref-fab,1985186.8485725755,2417810.4880056335,01,01097000
73,73,gages-01195490,14425,wb-12038,nex-12039,863443.0,01195490,gages,ref-fab,1893437.099626084,2295841.455350198,01,01195490
74,74,gages-01208500,5567,wb-18131,nex-18132,864415.0,01208500,gages,ref-fab,1883955.934527693,2276361.1763038733,01,01208500
75,75,gages-01200500,16355,wb-18065,nex-18066,863713.0,01200500,gages,ref-fab,1844223.0959480407,2290965.559450506,01,01200500
76,76,gages-01104200,9254,wb-10245,nex-10183,715713.0,01104200,gages,ref-fab,2004240.9688872653,2409330.8363661547,01,01104200
77,77,gages-01169000,11157,wb-15595,nex-15596,859159.0,01169000,gages,ref-fab,1877701.187077264,2413033.5414377945,01,01169000
78,78,gages-01135500,14141,wb-16765,nex-16760,557119.0,01135500,gages,ref-fab,1884125.2384826476,2612871.403443663,01,01135500
79,79,gages-01073500,15593,wb-9480,nex-9481,856639.0,01073500,gages,ref-fab,2005026.86653648,2500350.275617018,01,01073500
80,80,gages-01186000,46592,wb-14745,nex-14675,703952.0,01186000,gages,ref-fab,1873345.8977582392,2333984.5742584835,01,01186000
81,81,gages-01188090,46981,wb-14682,nex-14683,703230.0,01188090,gages,ref-fab,1889646.3927507934,2314560.9910450117,01,01188090
82,82,gages-01122500,6758,wb-11368,nex-11369,787020.0,01122500,gages,ref-fab,1948376.4960032138,2321552.002604738,01,01122500
83,83,gages-01396800,2489,wb-105875,nex-105876,215188.0,01396800,gages,ref-fab,1753885.6809142276,2153958.5758557734,02,01396800
84,84,gages-01429000,804,wb-117777,nex-117778,247045.0,01429000,gages,ref-fab,1697129.8054966833,2250348.156697697,02,01429000
85,85,gages-01547500,4979,wb-89484,nex-89485,765380.0,01547500,gages,ref-fab,1523970.825589288,2152364.151780124,02,01547500
86,86,gages-01407500,1763,wb-105509,nex-105510,199102.0,01407500,gages,ref-fab,1827467.3394807044,2134077.9030320602,02,01407500
87,87,gages-01318500,6859,wb-100921,nex-100922,275.0,01318500,gages,ref-fab,1772063.4986471164,2465969.994478662,02,01318500
88,88,gages-01400500,8396,wb-105729,nex-105622,201979.0,01400500,gages,ref-fab,1784839.7864921107,2149942.0151113337,02,01400500
89,89,gages-01438500,29417,wb-117737,nex-115636,261115.0,01438500,gages,ref-fab,1746873.498543029,2230253.9940478057,02,01438500
90,90,gages-01440400,8402,wb-117654,nex-117655,262375.0,01440400,gages,ref-fab,1718545.0707622487,2195194.011765149,02,01440400
91,91,gages-01470500,31542,wb-116397,nex-116031,353353.0,01470500,gages,ref-fab,1667752.1197062137,2121162.995359012,02,01470500
92,92,gages-01480870,8588,wb-119398,nex-119399,375235.0,01480870,gages,ref-fab,1708352.4246767347,2066801.7421681182,02,01480870
93,93,gages-01480700,8618,wb-119413,nex-119397,377902.0,01480700,gages,ref-fab,1703998.812896843,2070452.2454450475,02,01480700
94,94,gages-01510000,10471,wb-93296,nex-93219,567100.0,01510000,gages,ref-fab,1628559.1719474401,2343082.840390669,02,01510000
95,95,gages-01531500,40477,wb-86445,nex-86446,642780.0,01531500,gages,ref-fab,1604476.4728875747,2248667.608500512,02,01531500
96,96,gages-01541303,12322,wb-88787,nex-88788,724625.0,01541303,gages,ref-fab,1455402.572221617,2134022.659098567,02,01541303
97,97,gages-01562000,46254,wb-87684,nex-87685,843812.0,01562000,gages,ref-fab,1489164.248388182,2051581.2439903442,02,01562000
98,98,gages-01573560,13916,wb-95119,nex-95095,887561.0,01573560,gages,ref-fab,1617231.827995864,2084058.7904351808,02,01573560
99,99,gages-02021500,31861,wb-112736,nex-112737,1321607.0,02021500,gages,ref-fab,1437997.7075448171,1777210.5574085503,02,02021500
100,100,gages-01325000,15762,wb-103222,nex-103223,20056.0,01325000,gages,ref-fab,1772181.5762185424,2465257.9713092213,02,01325000
101,101,gages-01472199,16899,wb-116602,nex-116603,356398.0,01472199,gages,ref-fab,1711568.760499341,2113667.111271553,02,01472199
102,102,gages-01389500,41082,wb-105125,nex-105126,172159.0,01389500,gages,ref-fab,1804071.5773679044,2193761.4852747363,02,01389500
103,103,gages-01384500,30554,wb-105332,nex-105333,188413.0,01384500,gages,ref-fab,1794598.1770552928,2219159.2143708705,02,01384500
104,104,gages-01414500,6915,wb-118188,nex-118189,241144.0,01414500,gages,ref-fab,1731363.1186430492,2318032.5411836347,02,01414500
105,105,gages-01430000,7676,wb-117928,nex-117780,248221.0,01430000,gages,ref-fab,1704439.3423939701,2248645.99151253,02,01430000
106,106,gages-01547100,12806,wb-89477,nex-89478,756754.0,01547100,gages,ref-fab,1511658.2786621305,2137918.15517228,02,01547100
107,107,gages-01548500,37856,wb-89392,nex-89141,778433.0,01548500,gages,ref-fab,1527116.7418248907,2206553.0966880945,02,01548500
108,108,gages-01573000,44299,wb-95165,nex-95091,901569.0,01573000,gages,ref-fab,1623024.1722347112,2098463.0207295865,02,01573000
109,109,gages-01582000,48772,wb-114641,nex-114642,953417.0,01582000,gages,ref-fab,1637283.8430526876,2009444.2607413763,02,01582000
110,110,gages-01591610,79695,wb-115094,nex-115095,993817.0,01591610,gages,ref-fab,1615449.1519051231,1956945.0040157156,02,01591610
111,111,gages-01591000,51728,wb-115092,nex-115093,993961.0,01591000,gages,ref-fab,1610085.217596081,1962660.2107371243,02,01591000
112,112,gages-01591700,51578,wb-115095,nex-115096,993849.0,01591700,gages,ref-fab,1615038.3945578998,1956568.709101081,02,01591700
113,113,gages-01613000,56121,wb-95779,nex-95780,1088740.0,01613000,gages,ref-fab,1506045.224413925,1994625.41046519,02,01613000
114,114,gages-01617800,56145,wb-97994,nex-97995,1088860.0,01617800,gages,ref-fab,1543095.2215861722,1979415.254692231,02,01617800
115,115,gages-01667500,62046,wb-107773,nex-107774,1192015.0,01667500,gages,ref-fab,1551092.6540940937,1850631.2989114122,02,01667500
116,116,gages-01668000,61638,wb-107742,nex-107418,1213667.0,01668000,gages,ref-fab,1590780.7512039496,1854558.994390833,02,01668000
117,117,gages-02011800,65786,wb-111012,nex-111013,1295133.0,02011800,gages,ref-fab,1390929.1104284788,1774271.5561372444,02,02011800
118,118,gages-02018000,65974,wb-113046,nex-113047,1296575.0,02018000,gages,ref-fab,1398958.1382053632,1744351.246534618,02,02018000
119,119,gages-02017500,65976,wb-113107,nex-113038,1297065.0,02017500,gages,ref-fab,1385608.8215171278,1723307.001609519,02,02017500
120,120,gages-02025500,68999,wb-111050,nex-111051,1360524.0,02025500,gages,ref-fab,1458163.3919068368,1735722.960393624,02,02025500
121,121,gages-02026000,56336,wb-111061,nex-111062,1361629.0,02026000,gages,ref-fab,1494799.3627904255,1746259.446189474,02,02026000
122,122,gages-01315500,78329,wb-100910,nex-100911,17746.0,01315500,gages,ref-fab,1751560.4955687583,2504686.998570782,02,01315500
123,123,gages-01347000,28009,wb-102431,nex-102013,77176.0,01347000,gages,ref-fab,1707628.5023620515,2415114.998883718,02,01347000
124,124,gages-01336000,28040,wb-101996,nex-101997,89755.0,01336000,gages,ref-fab,1649400.6476481445,2425605.6233018753,02,01336000
125,125,gages-01351500,28044,wb-102117,nex-102118,92338.0,01351500,gages,ref-fab,1752708.5052658834,2402080.9969209176,02,01351500
126,126,gages-01375000,28695,wb-101074,nex-101075,166783.0,01375000,gages,ref-fab,1824542.821761828,2235399.398355126,02,01375000
127,127,gages-01388500,28784,wb-105283,nex-105284,172411.0,01388500,gages,ref-fab,1797447.01711801,2201523.6464541284,02,01388500
128,128,gages-01388000,28802,wb-105370,nex-105371,172558.0,01388000,gages,ref-fab,1797205.9506862005,2202598.652880266,02,01388000
129,129,gages-01387400,29114,wb-105392,nex-105365,185662.0,01387400,gages,ref-fab,1802623.391857501,2222610.1886869725,02,01387400
130,130,gages-01381900,29221,wb-105120,nex-105121,173545.0,01381900,gages,ref-fab,1796782.002862518,2189792.8528722967,02,01381900
131,131,gages-01377500,29384,wb-105070,nex-105071,178270.0,01377500,gages,ref-fab,1819535.5964127895,2208749.7288304744,02,01377500
132,132,gages-01395000,29553,wb-105459,nex-105460,194167.0,01395000,gages,ref-fab,1806614.461697688,2163463.9937611003,02,01395000
133,133,gages-01398500,29750,wb-105954,nex-105955,200152.0,01398500,gages,ref-fab,1774961.9163665308,2166685.7451551827,02,01398500
134,134,gages-01396500,29755,wb-105609,nex-105610,201496.0,01396500,gages,ref-fab,1755633.351050623,2158739.028921297,02,01396500
135,135,gages-01405400,29797,wb-105666,nex-105665,206116.0,01405400,gages,ref-fab,1803042.0008853248,2136571.463517912,02,01405400
136,136,gages-01428500,30197,wb-117999,nex-115623,238792.0,01428500,gages,ref-fab,1726930.4979811017,2247438.993988062,02,01428500
137,137,gages-01420500,30402,wb-118246,nex-118238,242194.0,01420500,gages,ref-fab,1715155.1757622361,2296485.907160196,02,01420500
138,138,gages-01417500,30416,wb-118138,nex-118139,240913.0,01417500,gages,ref-fab,1702827.0187621259,2300827.8542576046,02,01417500
139,139,gages-01429500,30436,wb-117964,nex-117963,251854.0,01429500,gages,ref-fab,1701670.6035654272,2253236.9211180788,02,01429500
140,140,gages-01437500,30768,wb-118663,nex-118664,258175.0,01437500,gages,ref-fab,1759486.9929298447,2247227.132534052,02,01437500
141,141,gages-01439500,30944,wb-118781,nex-118778,270082.0,01439500,gages,ref-fab,1733548.2491711273,2200413.0729723936,02,01439500
142,142,gages-01442500,29464,wb-117614,nex-117609,268486.0,01442500,gages,ref-fab,1726811.4976115178,2188785.9990159785,02,01442500
143,143,gages-01446500,30693,wb-117521,nex-115656,288589.0,01446500,gages,ref-fab,1735547.4975359563,2171034.0044861874,02,01446500
144,144,gages-01453000,77136,wb-117102,nex-117074,318262.0,01453000,gages,ref-fab,1717025.4989360184,2143075.9959663656,02,01453000
145,145,gages-01447720,31060,wb-117366,nex-117367,302491.0,01447720,gages,ref-fab,1686642.9470882665,2190744.5838854555,02,01447720
146,146,gages-01447500,31062,wb-117045,nex-117046,303121.0,01447500,gages,ref-fab,1682279.892880926,2193593.2748919628,02,01447500
147,147,gages-01467150,46436,wb-119212,nex-119213,329308.0,01467150,gages,ref-fab,1762773.8692794316,2071767.7379077661,02,01467150
148,148,gages-01477000,31776,wb-119249,nex-119250,331366.0,01477000,gages,ref-fab,1736778.5518815739,2058768.6317525706,02,01477000
149,149,gages-01474500,19086,wb-116062,nex-116063,347032.0,01474500,gages,ref-fab,1748117.8894938005,2075468.4557023246,02,01474500
150,150,gages-01474000,18322,wb-116645,nex-116646,347116.0,01474000,gages,ref-fab,1745208.4952567783,2080147.6379754958,02,01474000
151,151,gages-01473000,23073,wb-116550,nex-116521,371623.0,01473000,gages,ref-fab,1720007.2684586623,2098506.857243649,02,01473000
152,152,gages-01472000,42876,wb-116046,nex-116047,348754.0,01472000,gages,ref-fab,1706868.1241254858,2097349.0039710947,02,01472000
153,153,gages-01470960,21292,wb-116233,nex-116223,354382.0,01470960,gages,ref-fab,1670627.8798249569,2105139.516180261,02,01470960
154,154,gages-01481500,11462,wb-119349,nex-119350,375004.0,01481500,gages,ref-fab,1721174.8630280357,2046993.5800346083,02,01481500
155,155,gages-01480015,36078,wb-119529,nex-119530,376411.0,01480015,gages,ref-fab,1716419.1802813683,2039345.9643946413,02,01480015
156,156,gages-01408000,5760,wb-108915,nex-108902,444180.0,01408000,gages,ref-fab,1828436.052335918,2115994.338219502,02,01408000
157,157,gages-01408120,5890,wb-109399,nex-109381,443200.0,01408120,gages,ref-fab,1830400.9140282487,2107554.4283066182,02,01408120
158,158,gages-01500000,8533,wb-94268,nex-94267,549260.0,01500000,gages,ref-fab,1686399.5718362276,2333569.2139518587,02,01500000
159,159,gages-01526500,9632,wb-92077,nex-92078,610240.0,01526500,gages,ref-fab,1541526.254397437,2281507.2518010153,02,01526500
160,160,gages-01520000,9679,wb-92696,nex-92697,611280.0,01520000,gages,ref-fab,1541575.8289642327,2263974.834760455,02,01520000
161,161,gages-01518700,9841,wb-92070,nex-92071,612180.0,01518700,gages,ref-fab,1543985.3539280866,2261323.4207802075,02,01518700
162,162,gages-01534000,10316,wb-94658,nex-94659,639720.0,01534000,gages,ref-fab,1650039.3800264788,2235822.103925384,02,01534000
163,163,gages-01541000,11120,wb-88779,nex-88780,700210.0,01541000,gages,ref-fab,1439588.0178717657,2119109.1408481803,02,01541000
164,164,gages-01541500,10658,wb-90457,nex-90458,701312.0,01541500,gages,ref-fab,1459939.999259318,2132929.4960166058,02,01541500
165,165,gages-01544000,10555,wb-90126,nex-90127,725461.0,01544000,gages,ref-fab,1482264.5696480765,2182540.339195882,02,01544000
166,166,gages-01543000,43777,wb-90015,nex-90016,726753.0,01543000,gages,ref-fab,1468227.9958866101,2183119.499427917,02,01543000
167,167,gages-01547200,11108,wb-89478,nex-89479,756735.0,01547200,gages,ref-fab,1512855.494378571,2139009.926410706,02,01547200
168,168,gages-01546500,10762,wb-89604,nex-89588,764031.0,01546500,gages,ref-fab,1512232.301307497,2131944.8895474724,02,01546500
169,169,gages-01552500,10949,wb-89015,nex-88995,783677.0,01552500,gages,ref-fab,1603343.6708577538,2203201.1973178964,02,01552500
170,170,gages-01552000,11190,wb-90989,nex-90990,780751.0,01552000,gages,ref-fab,1574862.0111237706,2193826.867526983,02,01552000
171,171,gages-01559000,46145,wb-87398,nex-87399,829790.0,01559000,gages,ref-fab,1502674.2521746901,2083795.2460772966,02,01559000
172,172,gages-01563200,11620,wb-87695,nex-87696,859304.0,01563200,gages,ref-fab,1506126.8352351126,2079644.7837161887,02,01563200
173,173,gages-01563500,11652,wb-87646,nex-87404,874607.0,01563500,gages,ref-fab,1515701.2481366997,2075892.248011497,02,01563500
174,174,gages-01568000,12047,wb-87300,nex-87301,883260.0,01568000,gages,ref-fab,1577200.1044217173,2080983.058334787,02,01568000
175,175,gages-01576754,12480,wb-86676,nex-86677,905955.0,01576754,gages,ref-fab,1650754.361010586,2051980.2861083415,02,01576754
176,176,gages-01574000,13107,wb-86861,nex-86862,931241.0,01574000,gages,ref-fab,1618763.6646458593,2060862.4130880204,02,01574000
177,177,gages-01576500,47397,wb-86672,nex-86673,932761.0,01576500,gages,ref-fab,1654681.808468487,2059061.8919025592,02,01576500
178,178,gages-01583600,49055,wb-114715,nex-114704,953689.0,01583600,gages,ref-fab,1638604.4359063166,1997458.167261974,02,01583600
179,179,gages-01608000,15584,wb-99272,nex-99273,1008201.0,01608000,gages,ref-fab,1454972.5658118196,1908243.7867088027,02,01608000
180,180,gages-01603000,15794,wb-98435,nex-98436,1028169.0,01603000,gages,ref-fab,1457480.5002717646,1977021.7461494368,02,01603000
181,181,gages-01601500,16299,wb-98777,nex-98778,1028217.0,01601500,gages,ref-fab,1457653.577144495,1980111.5363086627,02,01601500
182,182,gages-01598500,16744,wb-98587,nex-98425,1041177.0,01598500,gages,ref-fab,1436198.687853817,1956443.2140608702,02,01598500
183,183,gages-01604500,17381,wb-98474,nex-98460,1034489.0,01604500,gages,ref-fab,1456853.4050186847,1958291.0390523034,02,01604500
184,184,gages-01610000,17454,wb-98407,nex-95769,1057105.0,01610000,gages,ref-fab,1486026.4995575482,1972835.7475676183,02,01610000
185,185,gages-01628500,19805,wb-97716,nex-97274,1094920.0,01628500,gages,ref-fab,1487692.494761088,1836181.7489430252,02,01628500
186,186,gages-01633000,57285,wb-97415,nex-97416,1099855.0,01633000,gages,ref-fab,1492573.9832896127,1892424.5028219211,02,01633000
187,187,gages-01636500,20333,wb-97326,nex-97327,1104865.0,01636500,gages,ref-fab,1546870.4972757378,1956021.7467773517,02,01636500
188,188,gages-01645000,21150,wb-100135,nex-100127,1125070.0,01645000,gages,ref-fab,1588589.3135068119,1943209.2675498489,02,01645000
189,189,gages-01638480,22755,wb-97218,nex-97219,1109680.0,01638480,gages,ref-fab,1565879.492965618,1956440.9423138276,02,01638480
190,190,gages-01644000,21250,wb-96732,nex-96733,1110160.0,01644000,gages,ref-fab,1570444.6688718167,1929640.0622122681,02,01644000
191,191,gages-01643500,23033,wb-97190,nex-97191,1139245.0,01643500,gages,ref-fab,1578401.83412817,1963170.430194874,02,01643500
192,192,gages-01649500,23046,wb-96610,nex-96611,1139845.0,01649500,gages,ref-fab,1625413.1943592778,1932036.6760894158,02,01649500
193,193,gages-01664000,32570,wb-107407,nex-107408,1189630.0,01664000,gages,ref-fab,1561143.1729220992,1871716.4262867775,02,01664000
194,194,gages-01674500,35644,wb-110759,nex-110635,1228031.0,01674500,gages,ref-fab,1631068.7245707775,1811926.0404003484,02,01674500
195,195,gages-01673000,35079,wb-109980,nex-109981,1237873.0,01673000,gages,ref-fab,1618030.493310013,1795847.913312944,02,01673000
196,196,gages-01671020,36296,wb-109976,nex-109977,1238069.0,01671020,gages,ref-fab,1608554.374851349,1803023.091915837,02,01671020
197,197,gages-02016500,40410,wb-111026,nex-111027,1293537.0,02016500,gages,ref-fab,1407557.2609599535,1757611.3768888689,02,02016500
198,198,gages-02013100,40858,wb-111018,nex-111019,1294853.0,02013100,gages,ref-fab,1389154.682386833,1756171.3173694902,02,02013100
199,199,gages-02029000,43233,wb-111074,nex-111075,1329923.0,02029000,gages,ref-fab,1518964.0212765888,1780219.9613271235,02,02029000
200,200,gages-02039500,47448,wb-111595,nex-111596,1401937.0,02039500,gages,ref-fab,1537555.493556343,1728018.0002152966,02,02039500
201,201,gages-02039000,51391,wb-112007,nex-111995,1412149.0,02039000,gages,ref-fab,1530257.7570267944,1721553.6872117172,02,02039000
202,202,gages-02041650,51433,wb-111619,nex-111620,1420153.0,02041650,gages,ref-fab,1618824.2798477784,1734353.1411944185,02,02041650
203,203,gages-04282500,28639,wb-120861,nex-120704,458260.0,04282500,gages,ref-fab,1804571.7488048251,2558993.249098139,02,04282500
